ids,ldcgrn,othssame,chemgen,natchld,natpark,sex,nukegen,harmgood,topprob1,drivless,grnmoney,topprob2,peopgrn,natsci,grngroup,redcehme,grntaxes,grncon,govdook,knowsol,chemfree,ihlpgrn,tempgen1,recycle,grndemo,impgrn,scigrn,h2oless,carsgen,indusgen,grnprice,grwthelp,nobuygrn,grneffme,helpharm,grnprog,toodifme,grnsign,harmsgrn,grnexagg,popgrwth,watergen,natenrgy,busgrn,natsoc,privent,grnsol,natroad,age,usdoenuf,grwtharm,econgrn,race,polgreed,polviews,grnintl,knwcause,grnecon,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters
347,2,2,2,1,2,Female,1,1,The economy,1,1,Education,Use the tax system to reward people who protect the environment,1,0,3,2,5,3,2,3,4,3,4,0,2,2,1,3,2,2,4,3,3,2,3,2,1,2,3,4,2,1,Use the tax system to reward businesses that protect the environment,1,2,2,2,38,1,2,2,White,3,4,5,3,2,0,1,0,3,4,5,6,4
340,2,4,2,2,2,Female,NaN,2,Health care,1,0,Education,Use the tax system to reward people who protect the environment,2,0,1,4,2,3,3,1,4,NaN,4,0,4,2,1,2,2,3,4,1,4,2,4,4,0,3,3,3,2,1,Use the tax system to reward businesses that protect the environment,2,4,5,2,85,3,4,2,White,3,5,NaN,2,2,1,2,1,1,1,4,5,1
343,4,1,3,1,1,Male,2,4,Health care,3,0,Education,Use the tax system to reward people who protect the environment,2,0,3,4,1,2,1,3,1,2,2,0,2,4,3,4,3,4,3,3,2,2,2,1,0,3,1,2,2,1,Heavy fines for businesses that damage the environment,1,4,4,2,30,3,2,3,Black,4,6,3,2,4,0,1,3,0,0,6,7,2
810,2,4,2,2,2,Female,2,2,The economy,1,0,Education,More information and education for people about the advantages of protecting the environment,2,0,2,5,4,2,1,3,2,5,4,0,3,4,1,3,3,5,4,3,4,2,2,2,0,3,4,3,3,1,Heavy fines for businesses that damage the environment,2,3,5,1,46,2,2,4,White,3,4,4,1,4,0,0,0,2,2,2,0,0
811,5,2,3,2,2,Female,3,3,NaN,1,0,The economy,Heavy fines for people who damage the environment,2,0,1,4,3,3,2,1,2,5,4,0,3,2,2,4,3,4,3,1,3,4,4,2,0,4,4,2,3,1,Heavy fines for businesses that damage the environment,2,4,3,2,43,3,3,2,White,3,2,1,2,4,0,0,0,3,4,5,0,0
812,2,2,3,2,2,Male,4,2,The economy,3,1,Health care,Use the tax system to reward people who protect the environment,1,0,3,2,5,4,3,3,4,1,4,0,2,2,3,3,3,2,2,2,4,2,2,2,0,2,2,5,1,1,Use the tax system to reward businesses that protect the environment,1,2,2,1,50,1,2,4,White,1,4,4,4,2,1,0,2,2,2,2,4,5
813,2,2,3,2,2,Female,3,2,The economy,1,0,Education,Use the tax system to reward people who protect the environment,2,0,1,4,3,4,2,2,2,4,4,0,2,4,2,3,3,3,4,NaN,3,4,4,2,0,2,2,3,2,2,Use the tax system to reward businesses that protect the environment,2,2,5,1,59,2,2,4,White,2,6,4,3,4,1,0,2,4,5,3,3,3
348,2,1,1,1,2,Female,1,5,Education,3,0,Health care,Heavy fines for people who damage the environment,1,0,2,2,5,2,1,4,5,1,4,0,1,3,1,2,1,3,1,3,5,1,1,1,0,5,1,5,1,1,Heavy fines for businesses that damage the environment,1,3,2,1,35,1,3,5,Other,5,1,5,1,1,0,1,0,3,4,6,6,4
815,2,4,3,3,1,Male,3,3,Terrorism,2,0,The economy,Use the tax system to reward people who protect the environment,2,0,2,4,3,2,4,4,3,NaN,4,0,3,2,1,NaN,3,3,3,4,3,4,4,3,0,3,4,3,1,1,Use the tax system to reward businesses that protect the environment,1,5,5,1,52,2,3,3,White,4,6,4,4,5,1,0,2,2,2,2,4,5
817,2,4,3,2,2,Male,3,2,The economy,1,0,Terrorism,NaN,1,0,1,5,2,3,1,1,2,NaN,2,0,4,3,1,3,3,5,4,1,2,1,4,5,0,5,NaN,NaN,3,3,NaN,3,4,5,1,23,3,4,2,White,3,5,2,1,4,0,1,3,0,0,0,2,8
1991,2,4,3,1,2,Female,2,2,The economy,1,0,Terrorism,More information and education for people about the advantages of protecting the environment,2,0,3,5,5,2,3,1,4,2,2,0,2,2,2,3,2,5,4,1,4,2,2,2,0,2,2,2,3,1,Use the tax system to reward businesses that protect the environment,1,2,5,1,60,1,2,4,White,2,4,4,3,4,1,0,2,4,5,3,3,3
1799,2,4,4,2,2,Male,4,2,The economy,2,0,Education,Use the tax system to reward people who protect the environment,1,0,2,4,3,2,3,2,4,4,2,0,4,4,2,3,3,3,4,2,4,2,2,4,1,3,4,4,3,2,Use the tax system to reward businesses that protect the environment,1,4,4,2,42,1,2,4,White,4,2,4,3,4,0,0,0,3,4,5,0,0
1798,2,1,3,2,2,Female,4,4,Health care,1,1,The economy,Heavy fines for people who damage the environment,2,1,2,2,4,2,3,2,3,3,2,0,2,2,1,3,1,2,2,3,4,2,2,2,1,4,4,5,2,1,Use the tax system to reward businesses that protect the environment,1,4,2,1,67,1,1,4,White,4,5,5,2,1,1,2,1,4,3,1,1,6
719,2,4,1,2,2,Female,1,4,Education,1,0,Immigration,More information and education for people about the advantages of protecting the environment,3,1,1,5,4,1,2,4,4,5,4,0,3,2,2,3,1,5,3,3,4,4,4,2,0,2,4,4,2,3,More information and education for businesses about the advantages of protecting the environment,1,2,5,1,29,2,4,4,White,5,4,2,4,4,0,1,3,0,0,6,7,2
718,4,3,2,1,1,Male,3,3,The economy,1,1,The environment,More information and education for people about the advantages of protecting the environment,1,0,1,3,5,2,3,2,4,2,4,0,2,4,2,3,2,2,4,2,4,2,2,1,1,5,2,4,2,1,More information and education for businesses about the advantages of protecting the environment,1,4,3,2,31,2,2,4,Black,4,4,4,3,3,0,1,3,0,0,6,7,2
1793,4,2,3,1,2,Male,2,2,Health care,1,0,The economy,Use the tax system to reward people who protect the environment,1,0,3,4,4,1,2,1,2,4,4,0,2,4,1,2,2,4,5,1,4,2,4,2,0,4,4,NaN,1,2,Heavy fines for businesses that damage the environment,1,2,4,2,29,1,4,4,Black,4,4,4,4,4,0,1,3,0,0,6,7,2
1791,3,2,2,1,3,Male,3,1,Health care,3,0,The environment,Use the tax system to reward people who protect the environment,1,0,4,1,5,2,2,3,4,2,3,0,2,2,3,1,2,1,2,4,2,3,3,4,0,5,2,4,2,1,Use the tax system to reward businesses that protect the environment,1,2,2,2,62,1,2,4,White,5,6,5,3,4,1,2,2,4,5,3,3,3
1790,1,3,1,2,1,Male,1,3,Health care,1,0,None of these,Heavy fines for people who damage the environment,2,0,1,3,4,1,2,2,2,2,2,0,4,3,2,2,1,2,4,1,4,4,4,4,0,2,4,3,2,2,Use the tax system to reward businesses that protect the environment,1,4,2,2,89,2,2,2,White,4,4,5,3,5,1,2,1,1,1,4,5,1
712,2,2,2,1,1,Female,1,3,Health care,4,0,Crime,More information and education for people about the advantages of protecting the environment,2,0,3,2,3,2,2,3,4,3,3,0,2,1,3,1,1,2,1,2,4,4,4,4,1,4,4,4,1,1,Heavy fines for businesses that damage the environment,1,2,2,3,56,1,2,4,Other,5,5,5,2,4,1,0,2,2,5,3,3,3
711,3,4,3,3,2,Female,2,3,Education,1,0,Health care,Heavy fines for people who damage the environment,3,0,1,5,4,3,2,2,2,2,3,0,4,3,2,2,3,2,4,1,3,3,2,2,0,3,2,3,1,2,Heavy fines for businesses that damage the environment,1,NaN,5,3,29,1,2,3,Black,3,3,3,2,2,0,1,3,0,0,6,7,2
1794,2,1,3,1,1,Female,2,2,The economy,1,0,Education,More information and education for people about the advantages of protecting the environment,2,0,2,3,4,1,2,1,3,4,4,0,2,3,1,3,2,2,2,3,3,2,3,2,0,2,2,4,3,NaN,Heavy fines for businesses that damage the environment,1,3,4,2,40,1,3,4,White,4,4,3,3,2,0,0,0,3,4,5,6,4
1490,2,2,1,2,2,Male,2,2,Education,4,0,Health care,Use the tax system to reward people who protect the environment,1,0,4,5,5,1,2,1,4,1,4,0,2,2,3,3,2,5,4,3,2,2,2,2,0,2,2,4,2,1,Heavy fines for businesses that damage the environment,1,5,1,2,49,1,2,4,White,2,6,5,5,2,1,0,2,2,2,2,4,0
1397,4,4,4,2,2,Male,2,3,Terrorism,1,0,The environment,More information and education for people about the advantages of protecting the environment,1,0,1,2,5,2,3,NaN,4,2,3,0,2,3,1,2,1,2,4,2,3,4,2,4,0,4,2,3,3,2,Use the tax system to reward businesses that protect the environment,2,4,3,2,25,1,2,3,White,3,2,4,3,2,0,1,3,0,0,0,2,8
1494,4,2,3,NaN,2,Male,4,2,The economy,1,0,Immigration,More information and education for people about the advantages of protecting the environment,2,0,1,5,3,1,3,1,4,4,2,0,4,1,1,3,3,4,4,2,2,2,4,3,0,2,5,5,3,3,Heavy fines for businesses that damage the environment,NaN,5,5,1,60,3,1,2,White,4,2,1,3,4,1,0,2,4,5,3,3,7
1496,3,2,2,1,2,Male,2,3,The economy,2,0,Health care,Use the tax system to reward people who protect the environment,2,0,4,5,4,3,3,4,4,1,1,0,1,2,3,3,2,2,3,4,4,1,2,1,0,1,1,5,1,2,Use the tax system to reward businesses that protect the environment,2,5,1,2,25,1,2,5,White,4,4,4,4,2,0,1,3,0,0,0,2,8
914,2,2,3,2,2,Male,4,1,The economy,1,0,Immigration,Use the tax system to reward people who protect the environment,2,0,1,4,4,2,2,1,4,3,2,0,2,2,1,3,3,4,4,2,4,3,3,2,1,2,3,4,2,2,Use the tax system to reward businesses that protect the environment,2,4,2,1,52,2,2,4,White,3,3,4,3,2,1,0,2,2,2,2,4,5
1498,2,1,1,1,2,Female,3,1,Health care,2,0,The environment,Use the tax system to reward people who protect the environment,1,0,3,2,5,4,2,2,4,1,3,0,1,5,3,1,1,2,5,3,2,2,2,2,0,4,1,3,1,1,Heavy fines for businesses that damage the environment,1,3,2,1,41,1,2,2,White,4,4,5,3,2,0,0,0,3,4,5,0,4
1995,2,4,3,1,1,Male,3,1,The economy,2,0,The environment,More information and education for people about the advantages of protecting the environment,2,0,4,1,5,2,1,2,4,4,4,0,1,4,1,2,2,1,4,4,2,4,2,4,0,4,1,4,2,1,More information and education for businesses about the advantages of protecting the environment,2,4,1,1,86,3,4,4,White,4,6,4,3,5,1,2,1,1,1,4,5,1
423,3,2,1,1,2,Female,1,2,The economy,1,0,Health care,Heavy fines for people who damage the environment,3,0,3,2,3,4,2,1,2,3,1,0,2,4,2,3,1,3,4,1,2,5,4,4,0,4,4,4,1,2,Heavy fines for businesses that damage the environment,1,4,5,2,43,2,4,4,White,2,6,4,3,4,0,0,0,3,4,5,0,0
1069,NaN,2,2,1,1,Female,3,2,The economy,2,1,The environment,Use the tax system to reward people who protect the environment,1,0,3,2,5,3,3,2,4,1,4,0,2,2,3,3,2,2,NaN,3,4,4,3,2,0,4,2,4,1,1,Use the tax system to reward businesses that protect the environment,2,4,2,1,74,1,2,4,White,2,6,4,3,2,1,2,1,1,3,1,1,6
1703,4,1,1,NaN,2,Female,4,3,The economy,3,0,Health care,Use the tax system to reward people who protect the environment,2,0,3,2,5,2,3,4,4,4,4,0,2,2,1,3,3,2,3,4,4,2,2,2,0,3,3,1,3,2,More information and education for businesses about the advantages of protecting the environment,1,4,2,1,54,1,2,3,White,4,4,3,2,2,1,0,2,2,5,2,4,5
1704,4,2,3,1,2,Female,3,3,Health care,1,0,Education,Use the tax system to reward people who protect the environment,1,0,1,3,3,3,2,1,3,3,2,0,3,3,2,2,3,3,4,1,4,3,2,3,0,3,2,3,2,1,More information and education for businesses about the advantages of protecting the environment,1,3,3,2,25,2,2,4,White,3,4,3,2,4,0,1,3,0,0,0,2,8
1706,4,3,3,3,2,Male,3,2,The economy,1,0,Education,More information and education for people about the advantages of protecting the environment,2,0,1,3,3,4,3,1,4,5,1,0,4,1,1,4,3,3,5,1,4,2,4,2,0,4,4,1,3,1,More information and education for businesses about the advantages of protecting the environment,1,2,4,1,46,2,2,2,White,4,3,3,4,4,0,0,0,2,2,2,0,0
1707,2,2,2,1,2,Female,3,2,The economy,3,1,The environment,More information and education for people about the advantages of protecting the environment,2,0,3,1,5,3,5,3,2,1,NaN,0,2,2,1,2,1,2,4,2,2,2,1,3,0,4,1,2,1,1,Heavy fines for businesses that damage the environment,2,2,3,1,42,1,3,5,White,2,NaN,NaN,3,1,0,0,0,3,4,5,0,4
1708,1,4,2,3,3,Male,5,2,The economy,1,0,Terrorism,More information and education for people about the advantages of protecting the environment,1,0,1,5,3,1,3,1,3,5,1,0,3,3,1,2,3,4,4,1,2,2,4,4,0,3,5,4,3,1,More information and education for businesses about the advantages of protecting the environment,1,5,5,1,58,3,3,2,White,3,2,1,3,4,1,0,2,4,5,3,3,7
1063,2,2,3,1,2,Male,5,1,The economy,3,0,Education,Use the tax system to reward people who protect the environment,2,0,3,4,4,3,3,2,2,3,4,0,2,2,2,3,2,4,4,1,3,2,4,4,1,2,3,2,2,2,Heavy fines for businesses that damage the environment,1,5,3,2,41,2,2,2,White,3,4,4,3,2,0,0,0,3,4,5,0,4
1624,2,2,2,1,2,Female,2,3,Health care,3,1,The economy,Use the tax system to reward people who protect the environment,1,1,3,2,4,2,3,3,4,3,4,0,3,4,2,2,2,2,2,3,3,3,3,2,1,4,2,4,1,1,Use the tax system to reward businesses that protect the environment,2,1,2,1,63,1,3,4,White,4,6,4,3,2,1,2,2,4,5,3,3,3
1066,1,1,2,2,2,Male,4,2,Education,4,1,The environment,More information and education for people about the advantages of protecting the environment,2,0,3,4,4,3,3,1,5,3,4,0,1,2,2,2,2,2,4,3,4,2,2,2,1,2,3,2,1,1,More information and education for businesses about the advantages of protecting the environment,2,4,2,2,66,1,1,2,White,NaN,6,5,3,2,1,2,1,4,3,1,1,7
715,2,1,4,NaN,1,Female,NaN,3,NaN,2,0,NaN,Heavy fines for people who damage the environment,NaN,0,2,3,4,3,4,2,3,2,3,0,2,3,3,2,3,3,4,3,2,1,1,2,0,4,2,3,1,2,More information and education for businesses about the advantages of protecting the environment,1,3,3,2,38,2,3,4,Other,3,6,4,3,3,0,1,0,3,4,5,6,4
1391,2,4,3,2,2,Male,4,2,The economy,1,0,Crime,Use the tax system to reward people who protect the environment,2,0,1,3,2,3,3,2,3,4,1,0,3,3,1,3,3,3,3,1,2,2,4,3,0,2,4,4,3,2,Use the tax system to reward businesses that protect the environment,1,4,3,2,33,2,2,2,White,2,2,4,3,4,0,1,3,3,4,6,7,2
298,5,4,2,2,2,Female,1,4,Health care,1,0,Education,Heavy fines for people who damage the environment,2,0,3,1,4,2,NaN,2,5,3,4,0,4,2,1,1,1,1,4,1,3,4,4,5,0,4,3,4,3,2,Heavy fines for businesses that damage the environment,1,NaN,4,2,53,2,4,5,Black,4,1,5,NaN,4,1,0,2,2,2,2,4,5
299,2,1,3,1,1,Male,4,3,The economy,1,0,Immigration,Use the tax system to reward people who protect the environment,2,0,3,5,3,2,3,1,3,5,4,0,2,4,3,4,4,5,3,2,4,2,4,2,1,4,3,4,2,3,Use the tax system to reward businesses that protect the environment,1,5,5,3,39,3,2,3,White,3,3,3,4,4,0,0,0,3,4,5,6,4
296,2,3,2,1,NaN,Male,3,3,The environment,2,0,Education,More information and education for people about the advantages of protecting the environment,1,0,2,3,3,2,2,2,3,2,2,0,3,3,2,2,2,2,4,1,3,3,3,4,0,2,4,3,2,1,Use the tax system to reward businesses that protect the environment,1,4,3,2,73,2,3,3,White,3,4,4,3,3,1,2,1,1,3,1,1,6
297,3,3,2,1,1,Male,2,NaN,Crime,2,0,Terrorism,Heavy fines for people who damage the environment,2,0,4,4,5,2,3,3,4,3,4,0,1,NaN,4,1,1,4,3,1,3,3,4,4,0,4,5,4,2,3,Heavy fines for businesses that damage the environment,1,3,4,1,30,1,5,4,Other,5,4,NaN,4,5,0,1,3,0,0,6,7,2
294,4,2,2,1,1,Female,1,2,Education,3,1,The economy,Use the tax system to reward people who protect the environment,1,1,3,2,4,4,3,3,4,2,4,1,1,1,3,2,2,2,2,3,4,2,2,1,1,3,2,4,1,1,Use the tax system to reward businesses that protect the environment,2,2,2,1,64,1,3,4,White,2,7,4,3,2,1,2,2,4,3,1,3,3
1664,1,4,2,2,2,Female,5,1,Education,2,0,The economy,Use the tax system to reward people who protect the environment,1,0,2,5,4,1,4,1,2,3,3,0,4,1,1,1,1,5,4,2,2,2,3,4,0,2,4,2,2,1,Heavy fines for businesses that damage the environment,3,5,5,1,30,1,2,3,White,4,4,4,3,2,0,1,3,0,0,6,7,2
1662,4,2,3,1,3,Female,2,3,The economy,1,0,Health care,More information and education for people about the advantages of protecting the environment,NaN,0,2,3,4,2,2,1,4,3,1,0,3,2,3,2,2,2,4,2,2,4,3,2,0,2,3,3,2,1,Heavy fines for businesses that damage the environment,1,1,2,1,37,1,2,NaN,White,3,5,5,2,2,0,1,0,3,4,5,6,4
1660,4,4,3,1,1,Male,3,3,Terrorism,NaN,0,Education,More information and education for people about the advantages of protecting the environment,1,0,2,4,5,4,1,2,4,2,2,0,2,4,1,3,2,2,4,1,2,5,4,5,0,3,4,4,4,3,Heavy fines for businesses that damage the environment,2,4,2,1,70,1,2,4,Other,4,NaN,3,1,4,1,2,1,4,3,1,1,6
1087,2,4,2,2,3,Female,1,2,The economy,1,0,Health care,More information and education for people about the advantages of protecting the environment,3,0,4,5,3,4,2,3,4,3,4,0,2,2,4,3,3,5,2,3,4,2,2,2,0,4,2,4,1,3,More information and education for businesses about the advantages of protecting the environment,2,2,4,2,74,2,2,4,White,2,6,4,2,4,1,2,1,1,3,1,1,6
1086,2,2,2,2,2,Male,2,2,Health care,3,0,The economy,More information and education for people about the advantages of protecting the environment,3,0,2,3,4,4,2,1,3,4,4,0,2,2,3,3,2,3,3,2,4,2,2,NaN,0,2,2,4,2,1,Heavy fines for businesses that damage the environment,1,3,4,1,52,3,3,3,White,3,4,5,4,NaN,1,0,2,2,2,2,4,5
1085,1,5,1,1,2,Female,1,5,Education,1,0,Health care,More information and education for people about the advantages of protecting the environment,2,0,1,5,3,2,1,1,2,3,1,0,3,1,1,3,1,5,3,1,3,3,3,5,0,4,3,3,1,2,More information and education for businesses about the advantages of protecting the environment,1,3,5,1,55,1,3,3,White,4,4,4,1,5,1,0,2,2,5,3,4,5
592,NaN,4,1,1,1,Female,1,3,The economy,1,0,Poverty,Heavy fines for people who damage the environment,3,0,1,3,4,1,2,2,4,1,2,0,3,4,1,2,2,3,4,1,3,3,4,4,0,4,4,3,1,3,More information and education for businesses about the advantages of protecting the environment,3,4,4,3,23,1,3,4,White,5,1,NaN,2,3,0,1,3,0,0,0,2,8
1082,3,2,3,1,2,Female,3,2,Education,2,0,The economy,Use the tax system to reward people who protect the environment,1,0,3,5,4,2,3,2,4,4,3,0,3,2,2,2,3,3,NaN,2,2,4,3,2,0,3,3,4,3,1,Use the tax system to reward businesses that protect the environment,1,4,4,1,35,2,2,2,White,4,4,4,3,2,0,1,0,3,4,6,6,4
597,2,2,2,1,1,Female,2,2,Health care,4,1,Immigration,More information and education for people about the advantages of protecting the environment,1,0,3,1,5,2,3,2,4,1,4,1,2,1,3,2,1,1,2,3,5,2,2,1,1,4,2,4,1,1,Heavy fines for businesses that damage the environment,1,2,1,1,25,1,2,2,White,4,7,4,3,1,0,1,3,0,0,0,2,8
596,4,1,2,1,1,Male,3,1,Education,2,0,Poverty,Use the tax system to reward people who protect the environment,2,0,3,3,4,2,3,1,2,1,3,0,3,2,3,2,2,3,2,2,3,2,2,2,1,4,2,4,1,1,Use the tax system to reward businesses that protect the environment,2,4,2,2,21,1,2,2,White,3,6,4,3,2,0,1,3,0,0,0,2,8
195,2,2,2,NaN,2,Male,4,2,The economy,3,0,The environment,More information and education for people about the advantages of protecting the environment,1,0,3,4,5,4,3,1,4,2,4,0,3,2,4,2,2,2,2,2,4,4,2,2,1,3,2,3,2,1,More information and education for businesses about the advantages of protecting the environment,2,2,4,3,67,1,2,4,Other,2,2,4,4,2,1,2,1,4,3,1,1,6
350,2,2,2,1,2,Female,3,2,Education,3,0,The environment,Use the tax system to reward people who protect the environment,1,0,3,2,4,3,3,2,3,2,4,0,2,3,3,3,2,2,NaN,3,3,2,2,2,1,4,2,4,2,1,Heavy fines for businesses that damage the environment,2,1,2,2,67,1,3,4,White,2,6,5,3,2,1,2,1,4,3,1,1,6
1123,2,4,2,1,2,Male,3,3,The economy,1,0,Health care,Use the tax system to reward people who protect the environment,2,0,1,2,4,3,2,1,3,1,2,0,2,4,2,1,1,2,4,2,2,NaN,4,4,0,5,NaN,3,1,1,More information and education for businesses about the advantages of protecting the environment,1,3,2,2,41,1,2,4,Black,4,4,4,2,4,0,0,0,3,4,5,0,4
1125,4,4,2,1,2,Female,3,4,Education,4,0,Health care,Use the tax system to reward people who protect the environment,2,0,4,4,5,2,2,4,4,3,2,0,4,5,1,3,2,5,5,4,5,4,4,NaN,0,4,4,4,2,2,NaN,1,5,2,1,62,1,4,4,Other,4,7,2,3,4,1,2,2,4,5,3,3,3
193,NaN,2,2,3,1,Female,3,2,The economy,2,0,Immigration,Use the tax system to reward people who protect the environment,3,0,3,5,4,2,5,2,4,4,4,0,3,4,4,2,1,5,4,3,4,2,4,2,0,4,4,2,3,2,Use the tax system to reward businesses that protect the environment,3,5,5,2,30,1,2,4,White,4,4,4,5,3,0,1,3,0,0,6,7,2
1127,4,4,2,1,2,Male,4,1,Health care,1,0,Terrorism,Heavy fines for people who damage the environment,1,0,1,5,1,2,2,1,2,4,1,0,4,4,1,2,2,1,4,1,2,2,4,5,0,2,4,2,2,1,Use the tax system to reward businesses that protect the environment,2,5,5,3,35,2,2,2,White,5,2,4,3,5,0,1,0,3,4,6,6,4
271,2,2,1,1,1,Female,3,3,The environment,2,1,Poverty,Use the tax system to reward people who protect the environment,2,1,3,4,5,3,3,3,2,1,3,0,3,2,3,2,1,2,2,3,4,2,2,2,1,4,2,4,2,1,Heavy fines for businesses that damage the environment,1,4,3,2,57,1,3,4,White,2,5,5,3,1,1,0,2,2,5,3,3,3
272,2,4,2,NaN,2,Female,3,2,The economy,2,0,Health care,More information and education for people about the advantages of protecting the environment,1,0,2,4,4,3,3,3,3,3,3,0,3,2,3,3,3,3,4,2,3,3,2,4,0,3,4,4,2,2,More information and education for businesses about the advantages of protecting the environment,1,4,3,1,75,NaN,2,4,White,2,2,4,4,4,1,2,1,1,1,4,5,6
274,2,2,2,2,2,Female,2,2,The economy,2,1,Education,More information and education for people about the advantages of protecting the environment,1,1,2,2,5,2,2,2,2,2,4,0,4,2,2,2,2,2,2,2,4,2,2,2,1,4,4,4,1,1,Use the tax system to reward businesses that protect the environment,1,4,2,1,45,1,2,4,White,3,5,5,4,2,0,0,0,3,2,5,0,0
275,4,4,2,1,1,Female,2,2,The economy,1,0,Education,More information and education for people about the advantages of protecting the environment,3,0,1,5,1,1,1,1,1,2,1,0,4,3,1,2,2,5,5,1,2,4,5,5,0,5,4,4,2,3,More information and education for businesses about the advantages of protecting the environment,1,2,5,2,29,1,2,4,Other,5,6,5,1,5,0,1,3,0,0,6,7,2
276,4,4,2,2,2,Male,1,4,The environment,2,0,Immigration,Heavy fines for people who damage the environment,3,0,4,3,5,2,3,2,4,2,4,0,3,4,4,2,1,3,4,2,4,4,4,4,0,4,2,4,2,2,Heavy fines for businesses that damage the environment,2,2,3,3,38,2,4,NaN,White,4,4,5,3,4,0,1,0,3,4,5,6,4
277,2,2,2,1,2,Female,2,4,Education,3,1,The economy,Heavy fines for people who damage the environment,1,0,4,2,5,2,3,3,4,2,4,0,2,2,4,2,2,2,3,3,NaN,3,2,2,1,4,3,5,1,1,Heavy fines for businesses that damage the environment,1,3,2,2,25,1,3,5,White,4,6,5,3,2,0,1,3,0,0,0,2,8
